n_train,frac,split,fold,Accuracy,Precision,Recall,F1,ROC-AUC,Dataset,Model
15645,0.6,train,1,0.8102269095557686,0.8688136065802314,0.7544794188861985,0.8076200349899566,0.907162029242575,OULAD (week-4 features),Random forest
15645,0.6,validation,1,0.7252224608775698,0.7781523937963587,0.6707352513804127,0.7204619946933042,0.8034399365241094,OULAD (week-4 features),Random forest
20860,0.8,train,1,0.8090124640460211,0.8667570951585977,0.7542218994007627,0.8065831634139237,0.9053093507087412,OULAD (week-4 features),Random forest
20860,0.8,validation,1,0.7298250997238417,0.780373831775701,0.6794536471955827,0.7264253534255087,0.8036641535283907,OULAD (week-4 features),Random forest
26075,1.0,train,1,0.8101246404602109,0.8661129568106313,0.7574634996731314,0.8081528267524315,0.9048754039647592,OULAD (week-4 features),Random forest
26075,1.0,validation,1,0.7335072108008591,0.7862903225806451,0.6800348735832606,0.729312762973352,0.8064179425738129,OULAD (week-4 features),Random forest
1303,0.05,train,2,0.8204144282425173,0.8673139158576052,0.7790697674418605,0.8208269525267994,0.9116149083002458,OULAD (week-4 features),Random forest
1303,0.05,validation,2,0.7029763731205891,0.7497510786591437,0.6564952048823016,0.7000309885342423,0.7817764088010558,OULAD (week-4 features),Random forest
2607,0.1,train,2,0.8197161488300729,0.8743801652892562,0.7688953488372093,0.8182521268368136,0.9121628402886668,OULAD (week-4 features),Random forest
2607,0.1,validation,2,0.7131021785823872,0.7607036176568205,0.6660854402789886,0.7102572048342113,0.7904661871973979,OULAD (week-4 features),Random forest
5215,0.2,train,2,0.8174496644295302,0.8707286949361878,0.7682528151107882,0.8162871478193747,0.9119774218687066,OULAD (week-4 features),Random forest
5215,0.2,validation,2,0.7210800859159251,0.7675568743818002,0.6765475152571927,0.7191844300278035,0.7973206729116864,OULAD (week-4 features),Random forest
10430,0.4,train,2,0.8151486097794822,0.8666256914566687,0.7681133103323043,0.8144012321909896,0.9092220486024084,OULAD (week-4 features),Random forest
10430,0.4,validation,2,0.7196992942620436,0.7711693548387096,0.6669572798605057,0.7152875175315568,0.7989832221645782,OULAD (week-4 features),Random forest
15645,0.6,train,2,0.810035155001598,0.8652942801878972,0.7582324455205811,0.8082333204284424,0.9075825531433557,OULAD (week-4 features),Random forest
15645,0.6,validation,2,0.7209266646210494,0.7728802153432033,0.6675385062481837,0.7163573990332138,0.7986941201215684,OULAD (week-4 features),Random forest
20860,0.8,train,2,0.8095397890699905,0.8644787245056424,0.7581260214272744,0.8078169593189184,0.9052506060187243,OULAD (week-4 features),Random forest
20860,0.8,validation,2,0.7190856090825407,0.7708613728129206,0.6657948270851497,0.71448619990644,0.797933350125997,OULAD (week-4 features),Random forest
26075,1.0,train,2,0.8080536912751678,0.8624255459960292,0.7572455872739159,0.8064204215818991,0.9042896389818772,OULAD (week-4 features),Random forest
26075,1.0,validation,2,0.722307456274931,0.7733825008380825,0.6704446381865736,0.7182440846824408,0.7985632166809895,OULAD (week-4 features),Random forest
1303,0.05,train,3,0.8089025326170376,0.8701517706576728,0.75,0.8056206088992974,0.9208593306863301,OULAD (week-4 features),Random forest
1303,0.05,validation,3,0.7016871165644172,0.7566826593557231,0.6413011908219576,0.694230466907719,0.7813616451630534,OULAD (week-4 features),Random forest
2607,0.1,train,3,0.8128116609129268,0.8737373737373737,0.7543604651162791,0.8096723868954758,0.9148935918991934,OULAD (week-4 features),Random forest
2607,0.1,validation,3,0.7069018404907975,0.7630494505494505,0.645367412140575,0.6992918961447679,0.7818260541162916,OULAD (week-4 features),Random forest
5214,0.2,train,3,0.8156885308784043,0.8687242798353909,0.7667998547039593,0.8145861470191009,0.9133729182880985,OULAD (week-4 features),Random forest
5214,0.2,validation,3,0.7088957055214724,0.7621309806582965,0.652338077258205,0.7029733959311424,0.7889329269817922,OULAD (week-4 features),Random forest
10429,0.4,train,3,0.8134049285645796,0.8712974551522736,0.7586269524155467,0.8110679611650485,0.9086529724484265,OULAD (week-4 features),Random forest
10429,0.4,validation,3,0.7124233128834356,0.7657627118644068,0.6561138541969213,0.7067104645706241,0.7957055575498502,OULAD (week-4 features),Random forest
15643,0.6,train,3,0.8091158984849454,0.8673540476522223,0.7537232110424991,0.8065561026172584,0.9071641632746548,OULAD (week-4 features),Random forest
15643,0.6,validation,3,0.713036809815951,0.7691780821917809,0.652338077258205,0.705956309916706,0.7979518054889174,OULAD (week-4 features),Random forest
20858,0.8,train,3,0.8092818103365615,0.8693551774837219,0.7517253904831094,0.806272523619363,0.9056855800910483,OULAD (week-4 features),Random forest
20858,0.8,validation,3,0.7170245398773006,0.7725102319236017,0.6578565204763288,0.7105882352941176,0.7992951933390164,OULAD (week-4 features),Random forest
26073,1.0,train,3,0.8094580600621333,0.8660231338936507,0.7560479476934253,0.8073074237840354,0.9051015490413683,OULAD (week-4 features),Random forest
26073,1.0,validation,3,0.717638036809816,0.7715254237288136,0.6610514086552425,0.7120287814797435,0.8007594030306082,OULAD (week-4 features),Random forest
1303,0.05,train,4,0.819646968534152,0.883248730964467,0.7587209302325582,0.8162627052384676,0.9181969653998864,OULAD (week-4 features),Random forest
1303,0.05,validation,4,0.7065050629027309,0.7577597840755735,0.6527172333623946,0.7013270882123341,0.7814414055516092,OULAD (week-4 features),Random forest
2607,0.1,train,4,0.8108937476026084,0.8669991687448046,0.7579941860465116,0.8088406359053897,0.9133167164150908,OULAD (week-4 features),Random forest
2607,0.1,validation,4,0.7120282295182572,0.7627688172043011,0.6596919500145306,0.7074957145083373,0.7878302679166529,OULAD (week-4 features),Random forest
